cluster_142	8__wzx__wzx_O161__189
cluster_143	8__wzx__wzx_Onovel13__556
cluster_144	8__wzx__wzx_Onovel9__549
cluster_145	9__wzy__wzy_O153var2__512	9__wzy__wzy_O8__486
cluster_146	1__fliC__fliC_H34__33	1__fliC__fliC_H34__34
cluster_147	8__wzx__wzx_O136__158
cluster_148	8__wzx__wzx_O145__167	8__wzx__wzx_O145__168
cluster_149	8__wzx__wzx_O176__206
cluster_15	8__wzx__wzx_O43__248
cluster_150	8__wzx__wzx_O4__244
cluster_151	8__wzx__wzx_O76__286
cluster_152	8__wzx__wzx_OgN12__594
cluster_153	8__wzx__wzx_Onovel15__560
cluster_154	9__wzy__wzy_O108__320
cluster_155	9__wzy__wzy_O139__361
cluster_156	8__wzx__wzx_O106_Gp9__118	8__wzx__wzx_O17_O77_Gp9__198	8__wzx__wzx_O44_Gp9__249	8__wzx__wzx_O73_Gp9__283
cluster_157	8__wzx__wzx_O124_Gp13__141	8__wzx__wzx_O164_Gp13__191	8__wzx__wzx_O164_Gp13__192
cluster_158	8__wzx__wzx_O11__122
cluster_159	8__wzx__wzx_O21__222
cluster_16	1__fliC__fliC_H56__59	1__fliC__fliC_H5__54	1__fliC__fliC_H5__55
cluster_160	8__wzx__wzx_O22__223	8__wzx__wzx_O22__523	9__wzy__wzy_O22__424
cluster_161	9__wzy__wzy_O11__322
cluster_162	9__wzy__wzy_O163__390
cluster_163	9__wzy__wzy_O83__491
cluster_164	9__wzy__wzy_Onovel7__543
cluster_165	8__wzx__wzx_O147__170
cluster_166	8__wzx__wzx_O37__241
cluster_167	8__wzx__wzx_Onovel24__578
cluster_168	2__flkA__flkA_H3__73
cluster_169	9__wzy__wzy_O136__358
cluster_17	9__wzy__wzy_O63__469	9__wzy__wzy_O63__470
cluster_170	9__wzy__wzy_O168__396
cluster_171	9__wzy__wzy_O27__429
cluster_172	9__wzy__wzy_O76__483
cluster_173	8__wzx__wzx_O153_O178_Gp11__176
cluster_174	8__wzx__wzx_O28ac_Gp2__232	8__wzx__wzx_O28ac_O42_Gp2__231	8__wzx__wzx_O42_Gp2__247
cluster_175	8__wzx__wzx_O53__258
cluster_176	8__wzx__wzx_O82__293
cluster_177	8__wzx__wzx_Onovel6__542
cluster_178	9__wzy__wzy_O64__471
cluster_179	1__fliC__fliC_H16__12	1__fliC__fliC_H16__13	1__fliC__fliC_H16__14
cluster_18	8__wzx__wzx_O38__242
cluster_180	9__wzy__wzy_O81__489
cluster_181	8__wzx__wzx_O1__108
cluster_182	8__wzx__wzx_O61__269
cluster_183	9__wzy__wzy_O137_Gp1__359	9__wzy__wzy_O20_Gp1__422
cluster_184	9__wzy__wzy_O182__413
cluster_185	9__wzy__wzy_O30__435
cluster_186	9__wzy__wzy_O38__442
cluster_187	9__wzy__wzy_O80__488
cluster_188	8__wzx__wzx_O48__254
cluster_189	8__wzx__wzx_Onovel17__565
cluster_19	9__wzy__wzy_O131__354
cluster_190	8__wzx__wzx_O51__257
cluster_191	8__wzx__wzx_O118_Gp3__133
cluster_192	8__wzx__wzx_O139__161
cluster_193	8__wzx__wzx_O80__291
cluster_194	8__wzx__wzx_O85__296
